name,resolution,fps,yt_id
men_olympic_short_program_2010,1920x1080,25.00,ZqbQpiriYCU
men_olympic_short_program_2014,1920x1080,25.00,J4YGDFT3ZYk
men_olympic_short_program_2018,1920x1080,25.00,WtfxFNBPKUY
men_world_short_program_2017,1920x1080,25.00,zYbREDYcICU
men_world_short_program_2018,1920x1080,25.00,e21j3Hf39Zo
men_world_short_program_2019,1920x1080,25.00,ofpqwkG2k_A
women_olympic_short_program_2014,1920x1080,25.00,3nL4pajKlSg
women_olympic_short_program_2018,1920x1080,25.00,JEtYYtwX1sM
women_world_short_program_2017,1920x1080,25.00,ewstaZRnpoE
women_world_short_program_2018,1920x1080,25.00,_U5AAq6HosU
women_world_short_program_2019,1920x1080,25.00,WKDXWfUW7W8